,Charging Profile
2016-01-01 01:51:00+00:00,89.47074178461871
2016-01-01 01:52:00+00:00,82.68256995396335
2016-01-01 01:53:00+00:00,82.68256995396335
2016-01-01 01:54:00+00:00,64.53755226360141
2016-01-01 01:55:00+00:00,64.4924089425041
2016-01-01 01:56:00+00:00,208.5624039320935
2016-01-01 01:57:00+00:00,162.26463874178557
2016-01-01 01:58:00+00:00,162.26463874178557
2016-01-01 01:59:00+00:00,80.93891793353434
2016-01-01 02:00:00+00:00,69.97382713302999
2016-01-01 02:01:00+00:00,76.89441711438702
2016-01-01 02:02:00+00:00,76.89441711438702
2016-01-01 02:03:00+00:00,70.84986016672293
2016-01-01 02:04:00+00:00,64.93292179546434
2016-01-01 02:05:00+00:00,78.09921614622668
2016-01-01 02:06:00+00:00,81.79171811851167
2016-01-01 02:07:00+00:00,76.81561457465432
2016-01-01 02:08:00+00:00,80.40173332626524
2016-01-01 02:09:00+00:00,80.40173332626524
2016-01-01 02:10:00+00:00,80.6208455508535
2016-01-01 02:11:00+00:00,87.01211328864416
2016-01-01 02:12:00+00:00,90.28097031200218
2016-01-01 02:13:00+00:00,80.898690640998
2016-01-01 02:14:00+00:00,84.58027626673399
2016-01-01 02:15:00+00:00,84.58027626673399
2016-01-01 02:16:00+00:00,75.43196696452188
2016-01-01 02:17:00+00:00,131.25411590588283
2016-01-01 02:18:00+00:00,193.47821199084257
2016-01-01 02:19:00+00:00,58.21264789365184
2016-01-01 02:20:00+00:00,58.21264789365184
2016-01-01 02:21:00+00:00,54.579336033439354
2016-01-01 02:22:00+00:00,54.579336033439354
2016-01-01 02:23:00+00:00,54.52577986807523
2016-01-01 02:24:00+00:00,64.61815720769034
2016-01-01 02:25:00+00:00,64.63040714019914
2016-01-01 02:26:00+00:00,64.63040714019914
2016-01-01 02:27:00+00:00,61.02218037151645
2016-01-01 02:28:00+00:00,277.3931473912571
2016-01-01 02:29:00+00:00,273.82028245131426
2016-01-01 02:30:00+00:00,53.863324832828894
2016-01-01 02:31:00+00:00,149.8881715429715
2016-01-01 02:32:00+00:00,61.0786606746699
2016-01-01 02:33:00+00:00,57.85275700180767
2016-01-01 02:34:00+00:00,58.29641542487902
2016-01-01 02:35:00+00:00,65.60577079087057
2016-01-01 02:36:00+00:00,58.456278715802675
2016-01-01 02:37:00+00:00,62.13162362569013
2016-01-01 02:38:00+00:00,51.17657495881809
2016-01-01 02:39:00+00:00,51.17657495881809
2016-01-01 02:40:00+00:00,61.13779343104923
2016-01-01 02:41:00+00:00,61.13779343104923
2016-01-01 02:42:00+00:00,127.62344857841022
2016-01-01 02:43:00+00:00,61.04323453804975
2016-01-01 02:44:00+00:00,61.04323453804975
2016-01-01 02:45:00+00:00,57.35958278243703
2016-01-01 02:46:00+00:00,130.90313784979372
2016-01-01 02:47:00+00:00,130.50513904727762
2016-01-01 02:48:00+00:00,132.72461597679322
2016-01-01 02:49:00+00:00,60.93165693639344
2016-01-01 02:50:00+00:00,60.93165693639344
2016-01-01 02:51:00+00:00,68.30819070829801
2016-01-01 02:52:00+00:00,71.8028579265578
2016-01-01 02:53:00+00:00,68.14726500107139
2016-01-01 02:54:00+00:00,58.38659418412472
2016-01-01 02:55:00+00:00,54.71609864049513
2016-01-01 02:56:00+00:00,54.71609864049513
2016-01-01 02:57:00+00:00,54.678504087201105
2016-01-01 02:58:00+00:00,54.678504087201105
2016-01-01 02:59:00+00:00,54.678504087201105
2016-01-01 03:00:00+00:00,51.03886754100643
2016-01-01 03:01:00+00:00,51.03886754100643
2016-01-01 03:02:00+00:00,54.63901416271425
2016-01-01 03:03:00+00:00,68.07949623356977
2016-01-01 03:04:00+00:00,68.01134860440042
2016-01-01 03:05:00+00:00,68.01134860440042
2016-01-01 03:06:00+00:00,68.01134860440042
2016-01-01 03:07:00+00:00,64.45311727382482
2016-01-01 03:08:00+00:00,67.92245040824314
2016-01-01 03:09:00+00:00,64.42778318998332
2016-01-01 03:10:00+00:00,71.80279012264059
2016-01-01 03:11:00+00:00,65.72340596720153
2016-01-01 03:12:00+00:00,73.09391930482528
2016-01-01 03:13:00+00:00,80.33947346688814
2016-01-01 03:14:00+00:00,72.97140062532505
2016-01-01 03:15:00+00:00,62.032845318085144
2016-01-01 03:16:00+00:00,76.69598520486483
2016-01-01 03:17:00+00:00,76.69598520486483
2016-01-01 03:18:00+00:00,80.29629495346391
2016-01-01 03:19:00+00:00,93.51142313170594
2016-01-01 03:20:00+00:00,103.18772231224179
2016-01-01 03:21:00+00:00,103.18772231224179
2016-01-01 03:22:00+00:00,110.4450473636118
2016-01-01 03:23:00+00:00,106.79712086100305
2016-01-01 03:24:00+00:00,116.7770705075324
2016-01-01 03:25:00+00:00,133.93901381669403
2016-01-01 03:26:00+00:00,118.29886050883323
2016-01-01 03:27:00+00:00,118.29886050883323
2016-01-01 03:28:00+00:00,124.4576282926747
2016-01-01 03:29:00+00:00,128.11985548895845
2016-01-01 03:30:00+00:00,137.70455809348303
2016-01-01 03:31:00+00:00,113.6027106320915
2016-01-01 03:32:00+00:00,124.52782705856947
2016-01-01 03:33:00+00:00,131.7557295545965
2016-01-01 03:34:00+00:00,135.40175921536672
2016-01-01 03:35:00+00:00,135.38868047520816
2016-01-01 03:36:00+00:00,125.53741071908173
2016-01-01 03:37:00+00:00,131.89365827483942
2016-01-01 03:38:00+00:00,156.43301737016193
2016-01-01 03:39:00+00:00,145.7483761565423
2016-01-01 03:40:00+00:00,155.96373630772237
2016-01-01 03:41:00+00:00,155.96373630772237
