,Mobility Profile
2016-01-01 01:51:00+00:00,76712.60636858633
2016-01-01 01:52:00+00:00,88309.27562091286
2016-01-01 01:53:00+00:00,93823.22974035383
2016-01-01 01:54:00+00:00,93823.22974035383
2016-01-01 01:55:00+00:00,95351.68477774966
2016-01-01 01:56:00+00:00,100537.9422989937
2016-01-01 01:57:00+00:00,89158.19120140537
2016-01-01 01:58:00+00:00,109674.98494864034
2016-01-01 01:59:00+00:00,83478.52722816812
2016-01-01 02:00:00+00:00,95813.86250760396
2016-01-01 02:01:00+00:00,84151.46953527954
2016-01-01 02:02:00+00:00,107861.99294827737
2016-01-01 02:03:00+00:00,104939.39831980095
2016-01-01 02:04:00+00:00,108175.84193762603
2016-01-01 02:05:00+00:00,109472.11163361833
2016-01-01 02:06:00+00:00,99638.42642446072
2016-01-01 02:07:00+00:00,92007.30751955416
2016-01-01 02:08:00+00:00,88988.05689586504
2016-01-01 02:09:00+00:00,98940.8709523889
2016-01-01 02:10:00+00:00,89515.2827564537
2016-01-01 02:11:00+00:00,98048.86213411359
2016-01-01 02:12:00+00:00,63582.76497246658
2016-01-01 02:13:00+00:00,63582.76497246658
2016-01-01 02:14:00+00:00,62100.026302402875
2016-01-01 02:15:00+00:00,62100.026302402875
2016-01-01 02:16:00+00:00,62100.026302402875
2016-01-01 02:17:00+00:00,62828.048967531504
2016-01-01 02:18:00+00:00,41348.8567376094
2016-01-01 02:19:00+00:00,48952.11410735471
2016-01-01 02:20:00+00:00,48952.11410735471
2016-01-01 02:21:00+00:00,48952.11410735471
2016-01-01 02:22:00+00:00,81379.13836952187
2016-01-01 02:23:00+00:00,79263.46814419038
2016-01-01 02:24:00+00:00,80977.65100361532
2016-01-01 02:25:00+00:00,89835.55489867066
2016-01-01 02:26:00+00:00,97174.8201141975
2016-01-01 02:27:00+00:00,118971.17512688397
2016-01-01 02:28:00+00:00,99703.09682376489
2016-01-01 02:29:00+00:00,99703.09682376489
2016-01-01 02:30:00+00:00,99703.09682376489
2016-01-01 02:31:00+00:00,88974.47389528077
2016-01-01 02:32:00+00:00,67457.50078939898
2016-01-01 02:33:00+00:00,71186.7763846227
2016-01-01 02:34:00+00:00,72726.09907780733
2016-01-01 02:35:00+00:00,51604.89399142937
2016-01-01 02:36:00+00:00,51604.89399142937
2016-01-01 02:37:00+00:00,68141.59370453453
2016-01-01 02:38:00+00:00,68141.59370453453
2016-01-01 02:39:00+00:00,81295.79510424387
2016-01-01 02:40:00+00:00,96376.20756023253
2016-01-01 02:41:00+00:00,108458.7817403893
